go	onto	in_study	in_population	depth	log2fc	fdr	n_genes	description	genes
GO:0051301	BP	31	557	2	3.217416061070084	1.0268028654813622e-18	31	cell division	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0', 'Transcript_98183.0']
GO:0006811	BP	5	7648	4	3.194185445070145	1.2768684652302607e-13	5	ion transport	['Transcript_165407.0', 'Transcript_228604.0', 'Transcript_230834.0', 'Transcript_266508.0', 'Transcript_269791.0']
GO:0035265	BP	18	344	2	3.1284135147634555	1.1192177699999246e-10	18	organ growth	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_20276.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_244324.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:0065008	BP	7	9611	2	3.0383626421238596	7.199964711463117e-17	7	regulation of biological quality	['Transcript_192957.0', 'Transcript_244161.0', 'Transcript_254419.0', 'Transcript_274841.0', 'Transcript_36245.0', 'Transcript_46586.0', 'Transcript_84481.0']
GO:0046483	BP	8	10080	3	2.914454750364038	2.9980683171428824e-17	8	heterocycle metabolic process	['Transcript_116902.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_266508.0', 'Transcript_27013.0', 'Transcript_31669.0', 'Transcript_68583.0', 'Transcript_98183.0']
GO:0018130	BP	3	3777	4	2.9133092996957757	2.5087196185013093e-06	3	heterocycle biosynthetic process	['Transcript_27013.0', 'Transcript_31669.0', 'Transcript_68583.0']
GO:0006139	BP	8	10060	3	2.9115894166696488	4.6607456279934655e-17	8	nucleobase-containing compound metabolic process	['Transcript_116902.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_266508.0', 'Transcript_27013.0', 'Transcript_31669.0', 'Transcript_68583.0', 'Transcript_98183.0']
GO:0034654	BP	3	3763	4	2.9079518053234845	3.5537213186900265e-06	3	nucleobase-containing compound biosynthetic process	['Transcript_27013.0', 'Transcript_31669.0', 'Transcript_68583.0']
GO:0042592	BP	4	4986	3	2.8989138994682597	3.138187176585668e-08	4	homeostatic process	['Transcript_192957.0', 'Transcript_244161.0', 'Transcript_254419.0', 'Transcript_274841.0']
GO:0030201	BP	9	206	6	2.8681777422823354	3.2644618484595794e-05	9	heparan sulfate proteoglycan metabolic process	['Transcript_174870.0', 'Transcript_267521.0', 'Transcript_45039.0', 'Transcript_54648.0', 'Transcript_57345.0', 'Transcript_58309.0', 'Transcript_83717.0', 'Transcript_91097.0', 'Transcript_99813.0']
GO:0006812	BP	5	5642	5	2.7553095876749683	7.829973700995053e-09	5	cation transport	['Transcript_165407.0', 'Transcript_228604.0', 'Transcript_230834.0', 'Transcript_266508.0', 'Transcript_269791.0']
GO:0006793	BP	4	4511	3	2.7544783026961124	5.227603113027861e-07	4	phosphorus metabolic process	['Transcript_20276.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_258684.0']
GO:0006796	BP	4	4499	4	2.750635383555805	5.135921580637547e-07	4	phosphate-containing compound metabolic process	['Transcript_20276.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_258684.0']
GO:0042551	BP	16	399	4	2.7445083318008954	4.7119339387841754e-08	16	neuron maturation	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:1901360	BP	10	11198	3	2.7442721018023892	2.538479904552019e-18	10	organic cyclic compound metabolic process	['Transcript_116902.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_266508.0', 'Transcript_27013.0', 'Transcript_31669.0', 'Transcript_46586.0', 'Transcript_68583.0', 'Transcript_84481.0', 'Transcript_98183.0']
GO:0048738	BP	21	524	6	2.743647689264551	2.623630079857665e-10	21	cardiac muscle tissue development	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_230834.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_244324.0', 'Transcript_245269.0', 'Transcript_269791.0', 'Transcript_30189.0', 'Transcript_43910.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0', 'Transcript_98532.0']
GO:0032879	BP	6	6679	3	2.7357006301383016	1.9194233030661057e-10	6	regulation of localization	['Transcript_165407.0', 'Transcript_228604.0', 'Transcript_230834.0', 'Transcript_266508.0', 'Transcript_269791.0', 'Transcript_34277.0']
GO:0048732	BP	4	4449	4	2.7345121151525453	4.99196721064201e-07	4	gland development	['Transcript_191098.0', 'Transcript_233853.0', 'Transcript_234849.0', 'Transcript_235310.0']
GO:0006725	BP	10	11056	3	2.725860537477655	5.980364568183088e-18	10	cellular aromatic compound metabolic process	['Transcript_116902.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_266508.0', 'Transcript_27013.0', 'Transcript_31669.0', 'Transcript_46586.0', 'Transcript_68583.0', 'Transcript_84481.0', 'Transcript_98183.0']
GO:0034641	BP	10	10816	3	2.6941980733715813	2.1810550729080644e-17	10	cellular nitrogen compound metabolic process	['Transcript_116902.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_266508.0', 'Transcript_27013.0', 'Transcript_31669.0', 'Transcript_46586.0', 'Transcript_68583.0', 'Transcript_84481.0', 'Transcript_98183.0']
GO:0033554	BP	5	5384	3	2.687781331699714	3.1531258301693736e-08	5	cellular response to stress	['Transcript_234849.0', 'Transcript_235310.0', 'Transcript_27013.0', 'Transcript_68583.0', 'Transcript_98183.0']
GO:0006029	BP	9	236	5	2.6720352201037123	9.490612466474447e-05	9	proteoglycan metabolic process	['Transcript_174870.0', 'Transcript_267521.0', 'Transcript_45039.0', 'Transcript_54648.0', 'Transcript_57345.0', 'Transcript_58309.0', 'Transcript_83717.0', 'Transcript_91097.0', 'Transcript_99813.0']
GO:0050953	BP	5	5211	5	2.6406631765209454	6.156359652054496e-08	5	sensory perception of light stimulus	['Transcript_189221.0', 'Transcript_230834.0', 'Transcript_269791.0', 'Transcript_43910.0', 'Transcript_98532.0']
GO:0007601	BP	5	5210	6	2.640386294255267	6.156359652054496e-08	5	visual perception	['Transcript_189221.0', 'Transcript_230834.0', 'Transcript_269791.0', 'Transcript_43910.0', 'Transcript_98532.0']
GO:0080134	BP	3	3050	4	2.6048777585932137	0.00011471032086241008	3	regulation of response to stress	['Transcript_234849.0', 'Transcript_235310.0', 'Transcript_98183.0']
GO:0001945	BP	4	112	3	2.577398345965637	0.023012520021605833	4	lymph vessel development	['Transcript_1140.0', 'Transcript_233035.0', 'Transcript_76993.0', 'Transcript_96470.0']
GO:1901362	BP	5	4902	4	2.552473405956236	3.491859467368927e-07	5	organic cyclic compound biosynthetic process	['Transcript_27013.0', 'Transcript_31669.0', 'Transcript_46586.0', 'Transcript_68583.0', 'Transcript_84481.0']
GO:0030001	BP	5	4861	6	2.5403560558779783	3.4331483921741075e-07	5	metal ion transport	['Transcript_165407.0', 'Transcript_228604.0', 'Transcript_230834.0', 'Transcript_266508.0', 'Transcript_269791.0']
GO:0010454	BP	30	881	6	2.508645654711346	9.645041674149147e-13	30	negative regulation of cell fate commitment	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0009996	BP	30	881	7	2.508645654711346	9.645041674149147e-13	30	negative regulation of cell fate specification	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:2000542	BP	30	881	6	2.508645654711346	9.645041674149147e-13	30	negative regulation of gastrulation	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0042659	BP	30	881	6	2.508645654711346	9.645041674149147e-13	30	regulation of cell fate specification	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0010453	BP	30	882	5	2.507009018074239	9.838447719644543e-13	30	regulation of cell fate commitment	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0019438	BP	5	4746	4	2.5058150222833446	6.532146482877996e-07	5	aromatic compound biosynthetic process	['Transcript_27013.0', 'Transcript_31669.0', 'Transcript_46586.0', 'Transcript_68583.0', 'Transcript_84481.0']
GO:0045992	BP	30	884	5	2.503741304240328	1.0333213456420638e-12	30	negative regulation of embryonic development	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0048469	BP	16	472	3	2.5021102186614	3.9514800101890396e-07	16	cell maturation	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:0080135	BP	3	2800	4	2.4814953430879316	0.0004593248132689389	3	regulation of cellular response to stress	['Transcript_234849.0', 'Transcript_235310.0', 'Transcript_98183.0']
GO:0010470	BP	30	901	5	2.476260567818221	1.6407605419094224e-12	30	regulation of gastrulation	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0071695	BP	16	483	3	2.468873889187468	5.227603113027861e-07	16	anatomical structure maturation	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:0051049	BP	6	5536	4	2.4649124588923277	8.279118667708411e-08	6	regulation of transport	['Transcript_165407.0', 'Transcript_228604.0', 'Transcript_230834.0', 'Transcript_266508.0', 'Transcript_269791.0', 'Transcript_34277.0']
GO:0090304	BP	8	7341	4	2.457007618777305	1.529369422538445e-10	8	nucleic acid metabolic process	['Transcript_116902.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_266508.0', 'Transcript_27013.0', 'Transcript_31669.0', 'Transcript_68583.0', 'Transcript_98183.0']
GO:0009628	BP	3	2743	2	2.4518231381038804	0.0006484989389674635	3	response to abiotic stimulus	['Transcript_189221.0', 'Transcript_76950.0', 'Transcript_98183.0']
GO:0071363	BP	32	983	5	2.4437056616826602	4.749882050812698e-13	32	cellular response to growth factor stimulus	['Transcript_100228.0', 'Transcript_112853.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_225184.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0070848	BP	32	983	4	2.4437056616826602	4.749882050812698e-13	32	response to growth factor	['Transcript_100228.0', 'Transcript_112853.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_225184.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:2001020	BP	3	2714	5	2.436489236674457	0.0006352279723436798	3	regulation of response to DNA damage stimulus	['Transcript_234849.0', 'Transcript_235310.0', 'Transcript_98183.0']
GO:2001022	BP	3	2684	5	2.4204531874557866	0.0009191623048061563	3	positive regulation of response to DNA damage stimulus	['Transcript_234849.0', 'Transcript_235310.0', 'Transcript_98183.0']
GO:0044271	BP	6	5128	4	2.354464777874344	4.298059062270788e-07	6	cellular nitrogen compound biosynthetic process	['Transcript_116902.0', 'Transcript_27013.0', 'Transcript_31669.0', 'Transcript_46586.0', 'Transcript_68583.0', 'Transcript_84481.0']
GO:0010648	BP	5	4251	5	2.3469051807285717	5.88164325803925e-06	5	negative regulation of cell communication	['Transcript_191098.0', 'Transcript_225184.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_257167.0']
GO:0023057	BP	5	4251	4	2.3469051807285717	5.88164325803925e-06	5	negative regulation of signaling	['Transcript_191098.0', 'Transcript_225184.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_257167.0']
GO:0048585	BP	5	4249	4	2.346226265402683	5.88164325803925e-06	5	negative regulation of response to stimulus	['Transcript_191098.0', 'Transcript_225184.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_257167.0']
GO:0009968	BP	5	4227	5	2.3387370341201894	8.450816164738697e-06	5	negative regulation of signal transduction	['Transcript_191098.0', 'Transcript_225184.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_257167.0']
GO:0006325	BP	3	2520	4	2.3294922496428816	0.0017350538083937411	3	chromatin organization	['Transcript_234849.0', 'Transcript_235310.0', 'Transcript_98183.0']
GO:0001947	BP	16	532	5	2.3294708325220514	1.645267032891697e-06	16	heart looping	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:0048584	BP	5	4193	4	2.327085751935787	8.244162725847412e-06	5	positive regulation of response to stimulus	['Transcript_234849.0', 'Transcript_235310.0', 'Transcript_257948.0', 'Transcript_34277.0', 'Transcript_98183.0']
GO:0003143	BP	16	536	4	2.3186640775654683	1.7759118995090072e-06	16	embryonic heart tube morphogenesis	['Transcript_101995.0', 'Transcript_149184.0', 'Transcript_163470.0', 'Transcript_195942.0', 'Transcript_199944.0', 'Transcript_214496.0', 'Transcript_229378.0', 'Transcript_232549.0', 'Transcript_239184.0', 'Transcript_245269.0', 'Transcript_30189.0', 'Transcript_46382.0', 'Transcript_55624.0', 'Transcript_59260.0', 'Transcript_61695.0', 'Transcript_79442.0']
GO:0006974	BP	5	4164	4	2.3170729903888136	1.2100557426586277e-05	5	cellular response to DNA damage stimulus	['Transcript_234849.0', 'Transcript_235310.0', 'Transcript_27013.0', 'Transcript_68583.0', 'Transcript_98183.0']
GO:0030900	BP	3	2443	3	2.284722379522859	0.002380121165966944	3	forebrain development	['Transcript_234849.0', 'Transcript_235310.0', 'Transcript_34277.0']
GO:0006950	BP	8	6431	2	2.2660741061155267	1.585891882972415e-08	8	response to stress	['Transcript_189221.0', 'Transcript_234849.0', 'Transcript_235310.0', 'Transcript_27013.0', 'Transcript_43398.0', 'Transcript_68583.0', 'Transcript_76950.0', 'Transcript_98183.0']
GO:0060795	BP	30	1047	4	2.259598136700951	6.252200742689827e-11	30	cell fate commitment involved in formation of primary germ layer	['Transcript_100228.0', 'Transcript_140027.0', 'Transcript_140434.0', 'Transcript_146061.0', 'Transcript_148837.0', 'Transcript_154410.0', 'Transcript_164793.0', 'Transcript_168010.0', 'Transcript_177074.0', 'Transcript_193002.0', 'Transcript_228864.0', 'Transcript_237373.0', 'Transcript_237862.0', 'Transcript_32081.0', 'Transcript_42835.0', 'Transcript_42942.0', 'Transcript_43675.0', 'Transcript_44325.0', 'Transcript_48156.0', 'Transcript_52995.0', 'Transcript_58493.0', 'Transcript_61462.0', 'Transcript_66503.0', 'Transcript_71058.0', 'Transcript_74600.0', 'Transcript_77337.0', 'Transcript_79197.0', 'Transcript_80840.0', 'Transcript_84994.0', 'Transcript_90220.0']
GO:0008016	BP	5	178	6	2.230947931944206	0.022086040858869584	5	regulation of heart contraction	['Transcript_230834.0', 'Transcript_244324.0', 'Transcript_269791.0', 'Transcript_43910.0', 'Transcript_98532.0']
